record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
thunder-bay|1383781-ontario-limited-madhouse-grill-295baystreetthunderbay14,thunder-bay,1383781 Ontario Limited- Madhouse Grill,"295 Bay Street, Thunder Bay 14194047 CANADA INC.- E.S.S.H.A’S THREADING & BEAUTY",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|studio-2620victoriaavenueeastth,thunder-bay,STUDIO,"2620 Victoria Avenue East ,Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1526404-ontario-limited-bakeshop-shaw-bakeshop-1181golflinksrdthunderba,thunder-bay,1526404 Ontario Limited - Bakeshop (Shaw Bakeshop),"1181 Golf Links Rd, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|16085776-canada-inc-exotic-indian-eats-229pearlstthunderbay,thunder-bay,16085776 Canada Inc. -Exotic Indian Eats,"229 Pearl St, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1670726-ontario-inc-lot-66-66southcourtstreetthunde,thunder-bay,1670726 ONTARIO INC.- Lot 66,"66 South Court Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1670729-ontario-inc-the-power-centre-740arthurstreetwestthund,thunder-bay,1670729 Ontario Inc - The Power Centre,"740 Arthur Street West, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1752581-ontario-limited-impact-promotions-1008victoriaaveeastthund,thunder-bay,1752581 Ontario Limited- Impact Promotions,"1008 Victoria Ave East, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1776603-ontario-inc-holiday-inn-express-1041carrickstreetthunder,thunder-bay,1776603 Ontario Inc- Holiday Inn Express,"1041 Carrick Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1778769-ontario-inc-strasser-lang-675haroldcresthunderbay,thunder-bay,1778769 ONTARIO INC - Strasser & Lang,675 Harold Cres Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1876118-ontario-ltd-makkinga-contracting-570squierplacethunderbay,thunder-bay,1876118 Ontario Ltd- Makkinga Contracting,"570 Squier Place, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
