community_id,name,province,canada_ca_label,portal_url,portal_alias_urls,operator,priority_nocs_url,employers_url,jobs_url,scrape_status,notes,active
west-kootenay,West Kootenay,BC,"West Kootenay, BC",https://westkootenayimmigration.ca/,https://wk-rnip.ca/,Community Futures Central Kootenay,https://westkootenayimmigration.ca/priorities/,https://westkootenayimmigration.ca/designated-employers/,https://westkootenayimmigration.ca/find-a-job/,ready,,TRUE
north-okanagan-shuswap,North Okanagan Shuswap,BC,"North Okanagan Shuswap, BC",https://rcipnorthokanaganshuswap.com/,,Community Futures North Okanagan; Community Futures Shuswap,https://rcipnorthokanaganshuswap.com/priority-sectors-nocs/,https://rcipnorthokanaganshuswap.com/resources-and-policies/,https://rcipnorthokanaganshuswap.com/faqs/,ready,,TRUE
peace-liard,Peace Liard,BC,"Peace Liard, BC",https://www.nebcimmigration.ca/,,Northeast BC RCIP (Peace Liard Region),https://www.nebcimmigration.ca/priority-occupations,https://www.nebcimmigration.ca/employers,https://www.nebcimmigration.ca/candidates,manual,Wix site; 2026 priority NOC list not reliably extractable from HTML (likely image). Prefer manual Sheet entry until PDF/OCR adapter.,TRUE
